MOUSE CODE,GENERAL CODE,STEP NUMBER,ETS,EIT,EPL,NTS,NIT,NPL
S3W1,SW1,1,10.1,5.27,9.24,11.21,6.44,11.74
S3W1,SW1,2,10.36,5.06,8.1,10.34,7.13,7.99
S3W1,SW1,3,11.08,5.87,10,10.53,3.37,7.71
S3W1,SW1,4,11.02,4.73,9.05,9.83,5.94,11.3
S3W1,SW1,5,10.78,6.18,13.53,11.96,6.91,12.92
S4W1,SW1,1,11.72,8.7,12.71,8.9,6.86,16.82
S4W1,SW1,2,10.38,5.79,15.46,11.3,7.88,16.01
S4W1,SW1,3,10.95,6.06,15.83,8.74,5.2,15.38
S4W1,SW1,4,10.35,5.44,13.49,8.22,6.33,12.48
S4W1,SW1,5,9.27,6.63,15.96,9.2,6.56,16.35
S4W1,SW1,6,10.42,7.17,13.46,10.66,4.5,14.8
S4W1,SW1,7,10.31,3.57,14.73,10.94,5.27,15.37
S4W1,SW1,8,9,4.02,15.25,8.67,5.67,13.78
S4W1,SW1,9,9.16,4.59,14.38,10.1,5.85,14.4
S4W1,SW1,10,8.95,3.95,15.39,9.4,5.84,14.14
S5W1,SW1,1,11.15,6.46,10.58,10.24,4.47,9.79
S5W1,SW1,2,12.62,7.23,12.53,6.16,2.4,9.25
S5W1,SW1,3,10.13,6.74,15.05,9.4,5.53,12.47
S5W1,SW1,4,10.44,5.4,10.45,8.98,5.25,12.84
S5W1,SW1,5,10.86,6.68,11.78,9.57,6.1,8.92
C1W2,CW2,1,9.69,6.72,9.02,8.84,5.33,7.75
C1W2,CW2,2,8.5,4.92,9.68,10.93,5.87,13.21
C1W2,CW2,3,8.67,4.8,9.92,10.04,5.22,8.6
C1W2,CW2,4,9.19,5.78,9.41,10.05,6.23,8.39
C1W2,CW2,5,8.81,4.86,9.88,10.45,5.2,9.5
C1W2,CW2,6,8.26,4.1,8.92,8.93,6.94,10.53
C2W2,CW2,1,10.17,6.31,14.15,9.71,5.09,12.79
C2W2,CW2,2,8.13,6.35,9.57,9.01,5.33,11.4
C2W2,CW2,3,9.07,5.37,12.29,10.15,4.28,12.62
C2W2,CW2,4,9.97,5.86,12.38,9.34,5,13.87
C2W2,CW2,5,10.64,6.18,11.93,8.78,4.44,12.41
C2W2,CW2,6,9.86,5,12.62,9.93,7.54,10.48
C3W2,CW2,1,9.84,5.13,8.56,9.95,6.37,10.06
C3W2,CW2,2,10.81,5.8,9.91,11.55,6.25,14.23
C3W2,CW2,3,9.15,5.6,9.05,10.1,4.72,9.61
C3W2,CW2,4,10.87,6.54,12.36,10.02,6.28,10.75
C4W2,CW2,1,9.21,7.38,8.9,10.49,6.4,8.76
C4W2,CW2,2,8.71,5.24,8.5,9.35,6.22,10.72
C4W2,CW2,3,10.26,3.9,8.85,9.79,6.09,8.82
C4W2,CW2,4,10.47,4.79,8.34,9.46,5.77,7.61
C4W2,CW2,5,8.26,5.16,8.55,9.11,5.64,8.86
C5W2,CW2,1,10.08,5.65,8.91,10.27,5.87,10.89
C5W2,CW2,2,9.41,5.18,13.82,10.42,5,11.14
C5W2,CW2,3,7.97,6.53,13.79,9.74,4.41,12.64
C5W2,CW2,4,7.45,4.99,9.3,9.62,5.12,10.52
C5W2,CW2,5,9,4.61,12.46,9.99,5.89,10.2
C5W2,CW2,6,9.32,4.59,14.02,9.58,5.08,13.12
P1W2,PW2,1,6.2,3.65,15.71,9.63,6.98,13.6
P1W2,PW2,2,7.37,2.83,14.6,10.11,6.11,12.09
P1W2,PW2,3,6.26,5.25,14.19,9.94,5.61,12.95
P1W2,PW2,4,5.65,3.2,15.29,10.34,7.35,12.52
P1W2,PW2,5,5.76,2.78,18.44,9.52,6.49,12.13
P1W2,PW2,6,4.25,2.76,15.93,8.83,5.52,12.2
P2W2,PW2,1,7.28,3.57,9.77,8.47,4.11,9.9
P2W2,PW2,2,7.11,4.82,10.58,8.43,5.09,10.73
P2W2,PW2,3,5.59,3.37,13.24,9.1,4.44,13.41
P2W2,PW2,4,6.38,4.07,12.31,8.37,5.42,11.03
P2W2,PW2,5,11.18,6.21,10.85,6.69,3.64,9.12
P2W2,PW2,6,8.41,6.96,11.52,8.47,5.43,11.56
P3W2,PW2,1,8.97,5.9,16.35,7.78,3.07,10.98
P3W2,PW2,2,8.34,5.25,15.43,8.83,2.69,11.46
P3W2,PW2,3,9,3.68,14.94,9.27,3.93,12.51
P3W2,PW2,4,7.21,4.33,13.6,9.33,4.4,11.05
P3W2,PW2,5,6,3.57,13.88,9.14,4.87,12.72
P3W2,PW2,6,8.91,4.67,15,9.37,3.74,13.27
P3W2,PW2,7,8.24,4.49,15.69,9.65,4.34,12.68
P3W2,PW2,8,7.6,3.51,14.6,9.92,4.93,11.59
P3W2,PW2,9,7.74,2.79,16.17,6.17,2.71,9.56
P4W2,PW2,1,7.36,5.04,13.78,7.8,4.95,10.85
P4W2,PW2,2,6.21,3.76,14.43,6.74,3,14.14
P4W2,PW2,3,6.45,4.52,15.29,5.44,2.09,13.93
P4W2,PW2,4,7.9,3.25,14.63,8.47,4.64,9.51
P4W2,PW2,5,8.8,5.44,14.97,8.19,5.27,12.24
P4W2,PW2,6,8.26,5.55,15.18,8.21,5.62,13.1
P4W2,PW2,7,6.24,4.83,14.59,7.98,4.42,12.3
P4W2,PW2,8,7.05,4.93,14.41,7.1,4.85,10.85
P4W2,PW2,9,6.81,4.89,15.02,8.61,3.52,16.07
P5W2,PW2,1,8.18,6.76,16.28,8.74,4.97,11.35
P5W2,PW2,2,10.38,5.12,12.62,8.34,4.84,13.38
P5W2,PW2,3,10.27,4.81,13.92,8.68,3.71,9.24
P5W2,PW2,4,10.46,5.32,12.96,9.76,3.4,11.58
P5W2,PW2,5,9.54,4.49,11.77,9.57,4.25,12.28
P5W2,PW2,6,10.27,5.51,12.96,8.85,3.67,10.01
N1W2,NW2,1,9.91,5.6,15.15,8.94,3.57,13.97
N1W2,NW2,2,9.19,4.78,13.74,9.32,3.62,13.2
N1W2,NW2,3,9.74,4.57,13.41,7.56,3.25,10.64
N1W2,NW2,4,9.56,4.37,12.45,9.09,4.14,12.82
N2W2,NW2,1,7.49,3.76,11.96,9.2,4.83,7.2
N2W2,NW2,2,9.48,5.26,13.9,7.41,5.15,8.51
N2W2,NW2,3,9.09,4.46,14.97,8.27,4.81,14.02
N2W2,NW2,4,8.71,4.89,15.29,8.57,4.85,12.53
N2W2,NW2,5,7.21,2.54,13.81,9.57,4.6,14.92
N3W2,NW2,1,8.37,4.18,14.01,8.98,4.8,11.56
N3W2,NW2,2,6.22,3.96,13.16,9.39,7.05,9.37
N3W2,NW2,3,6.06,4.08,12.48,8.25,5.99,8.22
N3W2,NW2,4,7.61,3.78,15.42,9.1,5.81,9.62
N3W2,NW2,5,7.56,6.09,15.21,8.45,4.67,13.89
N3W2,NW2,6,8.05,4.32,15.13,8.35,5.63,12.48
N3W2,NW2,7,4.8,2.47,15.4,9.2,5.08,15.08
N4W2,NW2,1,10.18,4.6,10.91,9.96,4.91,9.14
N4W2,NW2,2,9.02,4.44,13.42,7.71,5.17,8.49
N4W2,NW2,3,10.05,3.89,11.78,9.76,4.96,9.3
N4W2,NW2,4,9.66,5.19,11.1,8.36,5,9.87
N4W2,NW2,5,9.89,5.75,9.58,9.92,5.19,11.63
N4W2,NW2,6,10.51,4.73,8.87,8.48,4.41,12.29
N5W2,NW2,1,10.26,6.86,13.32,8.84,4.15,9.15
N5W2,NW2,2,9.55,5.38,10.19,8.92,4.51,8.13
N5W2,NW2,3,9.82,4.61,9.4,8.91,4.54,8.78
N5W2,NW2,4,10.25,5,10.34,9.62,4.32,11.04
N5W2,NW2,5,9.94,5.25,12.29,9.79,4.59,13.48
S1W2,SW2,1,9.44,5.76,13.47,7.5,4.84,12.84
S1W2,SW2,2,7.91,4.83,14.53,7.98,5.59,12.53
S1W2,SW2,3,8.7,5.61,14.94,7.92,5.6,13.8
S2W2,SW2,1,9.41,6.49,11.57,8.09,5.25,12.34
