MOUSE CODE,GENERAL CODE,TRIAL,R,T,D,H
P1W4,PW4,1,21.98,11,0.2,14.36
P1W4,PW4,2,36.63,18,0.56,8.05
P1W4,PW4,3,28.74,14,0.34,9.19
P2W4,PW4,1,40.18,21,0.75,10.08
P2W4,PW4,2,38.52,19,0.62,7.02
P2W4,PW4,3,37.74,19,0.59,8.53
P3W4,PW4,1,40.18,42,2.09,10.87
P3W4,PW4,2,40.18,29,1.28,7.08
P3W4,PW4,3,40.18,37,1.74,9.05
P4W4,PW4,1,40.18,26,1.03,5.09
P4W4,PW4,2,40.18,33,1.54,5.76
P4W4,PW4,3,40.18,45,2.31,5.17
P5W4,PW4,1,40.18,44,2.23,6.06
P5W4,PW4,2,40.18,33,1.52,7.43
P5W4,PW4,3,40.18,29,1.24,6.84
N1W4,NW4,1,40.18,27,1.15,13.34
N1W4,NW4,2,40.18,56,3.05,12.24
N1W4,NW4,3,40.18,25,0.97,15.2
N2W4,NW4,1,40.18,31,1.37,11.65
N2W4,NW4,2,40.18,31,1.36,13.14
N2W4,NW4,3,40.18,33,1.51,14.65
N3W4,NW4,1,24.1,12,0.24,13.06
N3W4,NW4,2,38.92,19,0.62,14.24
N3W4,NW4,3,36.63,18,0.55,12.89
N4W4,NW4,1,38.52,19,0.62,12.31
N4W4,NW4,2,40.18,21,0.76,14.07
N4W4,NW4,3,40.18,21,0.72,12.51
N5W4,NW4,1,40.18,24,0.96,12.51
N5W4,NW4,2,40.18,29,1.25,13.58
N5W4,NW4,3,40.18,31,1.37,13.44
S1W4,SW4,1,40.18,106,6.3,7.51
S1W4,SW4,2,40.18,124,7.49,6.99
S1W4,SW4,3,40.18,111,6.6,5.86
S2W4,SW4,1,40.18,24,0.93,13.5
S2W4,SW4,2,40.18,21,0.71,13.13
S2W4,SW4,3,40.18,23,0.86,8.35
S3W4,SW4,1,40.18,25,0.97,13.11
S3W4,SW4,2,40.18,27,1.09,12.69
S3W4,SW4,3,40.18,31,1.37,12.15
S4W4,SW4,1,40.18,300,18.95,11.48
S4W4,SW4,2,40.18,300,18.95,12.44
S4W4,SW4,3,40.18,300,18.95,10.9
S5W4,SW4,1,40.18,21,0.74,14.74
S5W4,SW4,2,40.18,22,0.79,11.06
S5W4,SW4,3,40.18,30,1.33,12.41
C1W5,CW5,1,40.18,24,0.9,9.32
C1W5,CW5,2,40.18,24,0.91,9.57
C1W5,CW5,3,40.18,27,1.12,11.2
C2W5,CW5,1,26.3,13,0.29,10.83
C2W5,CW5,2,33.66,17,0.46,12.34
C2W5,CW5,3,40.18,25,1.01,10.72
